date,population shift,confirm_adds,confirm
2021/04/19,0,3,1946
2021/04/20,0,3,1949
2021/04/21,0,1,1950
2021/04/22,0,5,1955
2021/04/23,0,3,1958
2021/04/24,0,9,1967
2021/04/25,0,2,1969
2021/04/26,0,1,1970
2021/04/27,0,2,1972
2021/04/28,0,5,1977
2021/04/29,0,7,1984
2021/04/30,0,3,1987
2021/05/01,0,4,1991
2021/05/02,0,5,1996
2021/05/03,0,3,1999
2021/05/04,0,0,1999
2021/05/05,0,0,1999
2021/05/06,0,5,2004
2021/05/07,0,2,2006
2021/05/08,0,6,2012
2021/05/09,0,4,2016
2021/05/10,0,4,2020
2021/05/11,0,3,2023
2021/05/12,0,2,2025
2021/05/13,0,1,2026
2021/05/14,0,3,2029
2021/05/15,0,2,2031
2021/05/16,0,6,2037
2021/05/17,0,4,2041
2021/05/18,0,9,2050
2021/05/19,0,2,2052
2021/05/20,0,9,2061
2021/05/21,0,1,2062
2021/05/22,0,4,2066
2021/05/23,0,3,2069
2021/05/24,0,3,2072
2021/05/25,0,6,2078
2021/05/26,0,1,2079
2021/05/27,0,2,2081
2021/05/28,0,7,2088
2021/05/29,0,5,2093
2021/05/30,0,2,2095
2021/05/31,0,7,2102
2021/06/01,0,6,2108
2021/06/02,0,3,2111
2021/06/03,0,5,2116
2021/06/04,0,1,2117
2021/06/05,0,7,2124
2021/06/06,0,4,2128
2021/06/07,0,2,2130
2021/06/08,0,2,2132
2021/06/09,0,7,2139
2021/06/10,0,2,2141
2021/06/11,0,8,2149
2021/06/12,0,6,2155
2021/06/13,0,5,2160
2021/06/14,0,5,2165
2021/06/15,0,3,2168
2021/06/16,0,2,2170
2021/06/17,0,3,2173
2021/06/18,0,6,2179
2021/06/19,0,3,2182
2021/06/20,0,1,2183
2021/06/21,0,1,2184
2021/06/22,0,6,2190
2021/06/23,0,0,2190
2021/06/24,0,6,2196
2021/06/25,0,3,2199
2021/06/26,0,1,2200
2021/06/27,0,1,2201
2021/06/28,0,1,2202
2021/06/29,0,0,2202
2021/06/30,0,2,2204
2021/07/01,0,3,2207
2021/07/02,0,4,2211
2021/07/03,0,1,2212
2021/07/04,0,6,2218
2021/07/05,0,4,2222
2021/07/06,0,4,2226
2021/07/07,0,8,2234
2021/07/08,0,3,2237
2021/07/09,0,6,2243
2021/07/10,0,3,2246
2021/07/11,0,1,2247
2021/07/12,0,5,2252
2021/07/13,0,5,2257
2021/07/14,0,0,2257
2021/07/15,0,6,2263
2021/07/16,0,3,2266
2021/07/17,0,1,2267
2021/07/18,0,1,2267
2021/07/19,0,3,2274
2021/07/20,0,2,2276
2021/07/21,0,2,2278
2021/07/22,0,3,2281
2021/07/23,0,2,2283
2021/07/24,0,4,2287
2021/07/25,0,0,2287
2021/07/26,0,4,2291
2021/07/27,0,1,2292
2021/07/28,0,0,2292
2021/07/29,0,7,2299
2021/07/30,0,8,2307
2021/07/31,0,5,2312
2021/08/01,0,2,2314
2021/08/02,0,4,2318
2021/08/03,0,2,2320
2021/08/04,0,9,2329
2021/08/05,0,8,2337
2021/08/06,0,9,2346
2021/08/07,0,6,2352
2021/08/08,0,8,2360
2021/08/09,0,9,2369
2021/08/10,0,4,2373
2021/08/11,0,5,2378
2021/08/12,0,5,2383
2021/08/13,0,5,2388
2021/08/14,0,6,2394
2021/08/15,0,2,2396
2021/08/16,0,7,2403
2021/08/17,0,5,2408
2021/08/18,0,6,2414
2021/08/19,0,2,2416
2021/08/20,0,4,2420
2021/08/21,0,12,2432
2021/08/22,0,4,2436
2021/08/23,0,9,2445
2021/08/24,0,6,2451
2021/08/25,0,3,2454
2021/08/26,0,8,2462
2021/08/27,0,4,2466
2021/08/28,0,5,2471
2021/08/29,0,5,2476
2021/08/30,0,4,2480
2021/08/31,0,3,2483
2021/09/01,0,6,2489
2021/09/02,0,8,2497
2021/09/03,0,8,2505
2021/09/04,0,9,2514
2021/09/05,0,2,2516
2021/09/06,0,4,2520
2021/09/07,0,6,2526
2021/09/08,0,2,2528
2021/09/09,0,4,2532
2021/09/10,0,2,2534
2021/09/11,0,3,2537
2021/09/12,0,5,2542
2021/09/13,0,6,2548
2021/09/14,0,2,2550
2021/09/15,0,2,2552
2021/09/16,0,1,2553
2021/09/17,0,2,2555
2021/09/18,0,2,2557
2021/09/19,0,4,2561
2021/09/20,0,6,2567
2021/09/21,0,6,2573
2021/09/22,0,2,2575
2021/09/23,0,9,2584
2021/09/24,0,6,2590
2021/09/25,0,2,2592
2021/09/26,0,1,2593
